year,suicides_no,Change_suicides
1985,116063,116063
1986,120670,4607
1987,126842,6172
1988,121026,-5816
1989,160244,39218
1990,193361,33117
1991,198020,4659
1992,211473,13453
1993,221565,10092
1994,232063,10498
1995,243544,11481
1996,246725,3181
1997,240745,-5980
1998,249591,8846
1999,256119,6528
2000,255832,-287
2001,250652,-5180
2002,256095,5443
2003,256079,-16
2004,240861,-15218
2005,234375,-6486
2006,233361,-1014
2007,233408,47
2008,235447,2039
2009,243487,8040
2010,238702,-4785
2011,236484,-2218
2012,230160,-6324
2013,223199,-6961
2014,222984,-215
2015,203640,-19344
2016,15603,-188037
